Borough,CouncilDist,Food_Scrap_Drop_Off_Site_Name,Latitude,Location,Longitude,NTAName,Notes,Object ID,Operation_Day_Hours,Open_Months,Hosted_By,Website,boroCD,ct2010,point,Precinct,BBL,BIN
Queens,25,St. James Compost,40.738332,"86-02 Broadway, Elmhurst, NY 11373",-73.8777581,Elmhurst,,8,Every day from 9:00AM - 6:00PM,Year Round,Volunteers at St. James Compost,https://www.instagram.com/stjamescompost/,404,,POINT (-73.8777581000009 40.7383320000032),,,
New York,2,Down to Earth Garden,40.7281,546 East 12th St,-73.979,Lower East Side,"We accept potted plants, clippings and flowers but please keep them separate from food scraps.",139,Tuesday: 1:30 to 3:30pm,Year Round,Down to Earth Garden,downtoearthgarden.org/,103,34,POINT (-73.979000000001 40.7281000000032),9,,
New York,1,WEATHER CLOSURE 1/29: Tribeca Greenmarket,40.717424,Tribeca Greenmarket,-74.010793,SoHo-TriBeCa-Civic Center-Little Italy,,70,Saturdays 8:00AM - 1:00PM,Year Round,GrowNYC,,101,,POINT (-74.010793000001 40.7174240000032),,,
Richmond,49,WEATHER CLOSURE 1/29: Staten Island Urban Center,40.6369271,208 Bay Street,-74.0767091,Stapleton-Rosebank,"Not accepted: meat, bones, dairy",107,Saturdays 11:00 AM - 1:30 PM,Year Round,Staten Island Urban Center,www.siurbancenter.org,501,21,POINT (-74.076709100001 40.6369271000032),120,5004980066,5013259
Queens,28,Discovery Community Garden,40.6944987,"108-56 Union Hall St Jamaica, NY 11433",-73.7913159,South Jamaica,No meat. No BPI-Certified Products.,208,"Mondays, 12-2PM",Year Round,NYC Compost Project Hosted by Big Reuse,https://www.bigreuse.org/service/compost/,412,,POINT (-73.791315900001 40.6944987000032),,,
Richmond,50,Grace Foundation,40.591211,460w Brielle Avenue,-74.1320734,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,"Not accepted: meat, bones, or dairy",120,Mondays 9 AM - 12 PM,Year Round,Grace Foundation,graceofny.org,502,181,POINT (-74.132073400001 40.5912110000032),122,5009550100,5000000
New York,3,Hudson River Park's Pier 76 at W. 34th St.,40.756032,Pier 76 at 34th Street and 12th Ave outside of compost yard South of 34th St,-74.006046,Hudson Yards-Chelsea-Flatiron-Union Square,"Not accepted: meat, bones, or dairy",38,Every day 7:00 am - 7:00 pm,Year Round,Staff at Hudson River Park,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,,POINT (-74.006046000001 40.7560320000032),,,
Kings,39,Christ Church Community Compost,40.68596,326 Clinton Street,-73.99701,Carroll Gardens-Columbia Street-Red Hook,"Only accepting fruits, vegetables, coffee, tea, and nuts",93,Sundays from 9:00AM-10:00AM; Wednesdays from 7:00PM-8:00PM,Year Round,Volunteers at Christ Church,www.christchurchcobblehill.net,306,67,POINT (-73.997010000001 40.6859600000032),76,3003240036,3003899
Kings,39,WEATHER CLOSURE 1/29: Grand Army Plaza Greenmarket,40.673438,"Flatbush Ave & Eastern Pkwy, north of the arch",-73.969814,Park Slope-Gowanus,"No Meat, Fish, and Dairy. No BPI-Certified Compostable Plastic Products.",203,"Saturdays, 8AM-2PM",Year Round,GrowNYC,grownyc.org/compost,355,,POINT (-73.969814000001 40.6734380000032),,,
Queens,30,Glendale Community Garden,40.707547,"74-10 88th St, Glendale, NY 11385",-73.864884,Glendale,"Not accepting: meat, bones, or dairy",88,Saturdays & Sundays 11:00AM - 4:00PM,Year Round,Volunteers at Glendale Community Garden,,405,,POINT (-73.864884000001 40.7075470000032),,,
Queens,23,Queens County Farm Museum,40.748406,"73-50 Little Neck Parkway, Queens, NY 11004",-73.721002,Bellerose,"Check Calendar of Events at queensfarm.org for dates when admission is charged (and compost site is not accessible without a ticket). *Farm-wide admission is charged for weekend events on 10-12 days each calendar year. Also, stop by the Farm Store to fi",6,Every Day 10:00 AM-04:00 PM,Year Round,Staff at Queens County Farm Museum,http://queensfarm.org/,413,,POINT (-73.7210020000009 40.7484060000032),,,
Bronx,14,WEATHER CLOSURE 1/29: New Settlement Community Center,40.8424593,"1501 Jerome Ave, Bronx, NY 10452",-73.9163193,West Concourse,"No Rice, Pasta, Bread, and Grains. No Meat, Fish, and Dairy. No BPI - Certified Products. Remove all plastic, stickers and zip ties before dropping off food scraps",198,"Saturdays, 10:30AM-1PM",December 4 - June 25,New Settlement Community Center,NewSettlement.org/food,204,,POINT (-73.9163193000009 40.8424593000032),,,
Queens,29,Kew Gardens Food Scrap Drop-off,40.707626,Metropolitan Ave & Audley St,-73.836079,Kew Gardens,"Not accepted: meat, bones, or dairy",152,Thursdays 9:30 AM - 12:30 PM,Year Round,GrowNYC,grownyc.org/compost,409,,POINT (-73.836079000001 40.7076260000032),,,
New York,3,WEATHER CLOSURE 1/29: Abingdon Square Greenmarket,40.737472,W 12th St and 8th Ave,-74.005095,West Village,"Not accepted: meat, bones, or dairy",66,Saturdays 8:00AM - 2:00PM,Year Round,GrowNYC,,102,77,POINT (-74.005095000001 40.7374720000032),6,,
Kings,39,Prospect Farm,40.654139,"1194 Prospect Ave, Brooklyn, NY 11218",-73.976444,Windsor Terrace,,55,Wednesdays 5:00PM - 6:00PM; Saturdays 11:00AM - 12:00PM,Year Round,Prospect Farm,https://prospectfarm.org/composting/,307,,POINT (-73.976444000001 40.6541390000032),,,
New York,3,Hudson River Park's Chelsea Waterside Park at W. 23rd St.,40.7489842,Chelsea Waterside Park near the playground,-74.0071142,Hudson Yards-Chelsea-Flatiron-Union Square,"Not accepted: meat, bones, or dairy.",34,Every day 7:00AM - 7:00PM,Year Round,Staff at Hudson River Park,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,,POINT (-74.007114200001 40.7489842000032),,,
Queens,22,Astoria Pug: Steinway,40.764056,"38-12 30th Ave, Queens, NY 11103",-73.915722,Astoria,"Not accepted: meat, bones, dairy, or oil",23,24/7,Seasonal,Astoria Pug,https://www.instagram.com/astoriapug/?hl=en,401,,POINT (-73.915722000001 40.7640560000032),,,
Queens,26,Rusty Wheelbarrow Farm,40.7427093,"72-2 Woodside Ave, Woodside, NY 11377",-73.892547,Elmhurst-Maspeth,"No meat, bones, or dairy.",166,Tuesdays	12:00 PM- 2:00 PM,Year Round,NYC Compost Project Hosted by Big Reuse,https://www.bigreuse.org/,402,,POINT (-73.892547000001 40.7427093000032),,,
Richmond,50,Manor Heights,40.605671,"Woodward Ave and Woolley Ave, 10314",-74.140879,New Springville-Bloomfield-Travis,"Not accepted: meat, bones, or dairy",184,Thursdays 4 PM - 5:30 PM,Year Round,Snug Harbor Youth,snug-harbor.org,502,,POINT (-74.140879000001 40.6056710000032),,,
Kings,42,Canarsie Compost Yard,40.6516767,"1149 Rockaway Avenue, Brooklyn NY, 11236",-73.9059912,East New York,"Not accepted: meat, bones, or dairy",171,Wednesdays 10 AM - 2 PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,318,,POINT (-73.905991200001 40.6516767000032),,,
Queens,26,Astoria Pug: Hunter's Point,40.74777,46th Avenue and 5th Street,-73.95486,Hunters Point-Sunnyside-West Maspeth,,183,Tuesdays	9:00 AM - 12:00 PM,Year Round,Astoria Pug,https://www.instagram.com/astoriapug/?hl=en,402,1,POINT (-73.9548600000009 40.7477700000032),108,,
Bronx,11,Riverdale Neighborhood House,40.903202,"5521 Mosholu Avenue Bronx, NY 10471",-73.903936,North Riverdale-Fieldston-Riverdale,"No meat, BPI Certified Products. Remove all plastic, stickers and zip ties before dropping off food scraps.",156,"Thursdays, 1-6PM",Year Round,Riverdale Neighborhood House,,208,,POINT (-73.903936000001 40.9032020000032),,,
